"Genes","Correlation"
"A1BG",0.908424908424908
"A2BP1",0.97985347985348
"A2ML1",0.572649572649573
"A2M",0.81013431013431
"A4GALT",0.888888888888889
"A4GNT",0.072039072039072
"AAAS",0.845543345543345
"AACS",0.839438339438339
"AADACL2",0.347985347985348
"AADACL3",0.176434676434676
"AADACL4",-0.0170940170940171
"AADAC",0.266788766788767
"AADAT",0.835775335775336
"AAK1",0.126984126984127
"AAMP",0.443223443223443
"AANAT",0.172161172161172
"AARS2",0.648962148962149
"AARSD1",0.52991452991453
"AARS",0.711843711843712
"AASDHPPT",0.771062271062271
"AASDH",0.462759462759463
"AASS",0.670940170940171
"AATF",0.678876678876679
"AATK",0.681929181929182
"ABAT",0.808302808302808
"ABCA10",0.370573870573871
"ABCA12",0.288766788766789
"ABCA13",0.725885225885226
"ABCA1",0.691086691086691
"ABCA2",0.825396825396825
"ABCA3",0.590964590964591
"ABCA4",0.747252747252747
"ABCA5",0.904151404151404
"ABCA6",0.884004884004884
"ABCA7",0.82051282051282
"ABCA8",0.873626373626374
"ABCA9",0.267399267399267
"ABCB10",0.731990231990232
"ABCB11",-0.150793650793651
"ABCB1",0.800976800976801
"ABCB4",0.804639804639805
"ABCB5",-0.399267399267399
"ABCB6",0.84981684981685
"ABCB7",0.561050061050061
"ABCB8",0.741147741147741
"ABCB9",0.714896214896215
"ABCC10",0.775946275946276
"ABCC11",0.763125763125763
"ABCC12",0.845543345543345
"ABCC13",0.544566544566545
"ABCC1",0.822344322344322
"ABCC2",0.316239316239316
"ABCC3",0.844322344322344
"ABCC4",0.761294261294261
"ABCC5",0.727716727716728
"ABCC6",0.922466422466422
"ABCC8",0.926739926739927
"ABCC9",0.829059829059829
"ABCD1",0.766178266178266
"ABCD2",0.694749694749695
"ABCD3",0.746031746031746
"ABCD4",0.822344322344322
"ABCE1",0.791819291819292
"ABCF1",0.871184371184371
"ABCF2",0.612942612942613
"ABCF3",0.68009768009768
"ABCG1",0.849206349206349
"ABCG2",0.902930402930403
"ABCG4",0.913308913308913
"ABCG5",0.0995115995115995
"ABCG8",-0.0488400488400488
"ABHD10",0.606837606837607
"ABHD11",0.805250305250305
"ABHD12B",0.802808302808303
"ABHD12",0.26984126984127
"ABHD13",0.496947496947497
"ABHD14A",0.905372405372405
"ABHD14B",0.764957264957265
"ABHD1",0.938339438339438
"ABHD2",0.783882783882784
"ABHD3",0.854700854700855
"ABHD4",0.814407814407814
"ABHD5",0.413919413919414
"ABHD6",0.85958485958486
"ABHD8",0.81990231990232
"ABI1",0.840659340659341
"ABI2",0.145909645909646
"ABI3BP",0.897435897435897
"ABI3",0.937728937728938
"ABL1",0.524420024420024
"ABL2",0.567155067155067
"ABLIM1",0.73015873015873
"ABLIM2",0.919413919413919
"ABLIM3",0.974969474969475
"ABO",-0.0628815628815629
"ABP1",-0.142857142857143
"ABRA",-0.0323565323565324
"ABR",0.918803418803419
