covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06758839857675315,1.069924835250333,0.007168360571811984,0.05353867002780471,0.08163812712570159,1.054997787772582,1.0850630838784423,0.0,9.428710776984321,4.151602074567433e-21,67.70682182267676
gender,0.022642215963167733,1.0229004966000093,0.1701719058388319,-0.3108885906614841,0.3561730225878196,0.7327955115849706,1.4278545779864809,0.0,0.13305495905188924,0.8941499158096546,0.1614113566970905
radiation_therapy,0.3229714152100192,1.3812258682899705,0.19990384927345575,-0.06883292973687749,0.7147757601569159,0.9334826242386752,2.0437283455482893,0.0,1.6156337978675681,0.10617351206196476,3.235504204293559
race,0.32966620068273605,1.390503901735756,0.344148664834897,-0.34485278772120825,1.0041851890866804,0.7083246198743801,2.7296821915991902,0.0,0.9579179998879008,0.33810410914281375,1.5644605447787128
histological_type_astrocytoma,0.48679935821234954,1.6271001123499789,0.2202053360824866,0.05520483028713735,0.9183938861375618,1.0567570483583006,2.5052634186090392,0.0,2.21066104424463,0.027059318079460232,5.207730707288704
histological_type_oligodendroglioma,-0.3064528548614341,0.7360532186923605,0.24413011768685527,-0.7849390930691953,0.17203338334632712,0.45614748348279494,1.187717482536147,0.0,-1.2552849184078136,0.20937534804916405,2.2558365062044645
MUC16,-3.0611894510690596,0.046831957755847906,1.0506045419882717,-5.120336515360271,-1.0020423867778483,0.0059740122098406396,0.36712885581866406,0.0,-2.9137409260345963,0.003571261471681737,8.12935051923743
NOTCH1,0.3496170761233751,1.4185242577725095,0.3264714276974385,-0.29025516414497654,0.9894893163917268,0.7480726619023046,2.6898604538924267,0.0,1.070896398466414,0.28421601544376884,1.8149402428038497
PIK3CA,0.5258555108744839,1.6919056731056465,0.3736144637602033,-0.20641538219875977,1.2581264039477276,0.8134950947108948,3.5188224554745235,0.0,1.4074816739750027,0.15928460766574845,2.650321234911826
NF1,1.7721285153404878,5.88336287144315,0.285898747867509,1.2117772662950725,2.332479764385903,3.3594499872169514,10.303460033274915,0.0,6.19844797698004,5.702264682270582e-10,30.707745942404365
FUBP1,0.3302269352125775,1.391283823931556,0.4343796035888888,-0.5211414434404301,1.1815953138655853,0.5938423235415633,3.2595700946164277,0.0,0.7602266139666981,0.44711913921754753,1.1612687922113298
IDH1,-0.7568545155696167,0.4691397804650701,0.3332732281067324,-1.4100580396702143,-0.10365099146901913,0.24412911356900077,0.901539887632481,0.0,-2.2709730387561473,0.023148610132568182,5.432930614649731
TP53,-0.05919366709014127,0.9425242155581434,0.35560416306938863,-0.7561650194586513,0.6377776852783688,0.46946336206050643,1.8922709815191052,0.0,-0.16645943224964685,0.8677954060935726,0.20457314600346468
ATRX,0.9647068590449578,2.6240183364792813,0.35588019747596206,0.2671944891810699,1.6622192289088455,1.3062944817702768,5.270995419691564,0.0,2.7107629642981723,0.006712859574826274,7.218856821426261
CIC,0.026988298466102345,1.0273557810546563,0.359068249867229,-0.6767725392654955,0.7307491361977003,0.5082547202454791,2.076635708088755,0.0,0.07516202971463415,0.9400857947623902,0.08913566785239392
