covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06728077574026611,1.0695957525569562,0.00721538229404338,0.05313888630925309,0.08142266517127913,1.0545761011312655,1.0848293192503142,0.0,9.324630767770877,1.1137068448832812e-20,66.28319236802395
radiation_therapy,0.3392233851580102,1.4038569109863366,0.20319112515308724,-0.05902390212021147,0.7374706724362319,0.9426842367358665,2.090640905748281,0.0,1.669479338245872,0.09502242181781186,3.3955882128720845
race,0.33072240121455315,1.3919733285643592,0.3428122699157051,-0.3411773012786528,1.0026221037077592,0.7109328477284594,2.7254187981684077,0.0,0.9647332672657114,0.33467842804792025,1.5791525308699534
histological_type_astrocytoma,0.488345773882547,1.6296182319887118,0.22034931113266346,0.056469060044315844,0.9202224877207782,1.0580938769161128,2.509848738346455,0.0,2.216234629336026,0.02667543738980125,5.228344263057776
histological_type_oligodendroglioma,-0.29355704984762326,0.7456066849029591,0.24523554221595772,-0.7742098803200523,0.18709578062480586,0.46106793596701795,1.2057427663149154,0.0,-1.1970412086071642,0.2312904932247133,2.1122221270517367
MUC16,-3.0621229152816944,0.046788262196568474,1.0465890012187833,-5.1133996642862565,-1.0108461662771324,0.0060155971102301324,0.36391092010666437,0.0,-2.925812245031969,0.0034355821370844154,8.185229709599051
NOTCH1,0.33452303558136776,1.3972737763863323,0.3273509338621097,-0.30707300509392055,0.9761190762566561,0.7355968966264083,2.654135729950592,0.0,1.0219095196541554,0.3068237264156197,1.704518045362582
PIK3CA,0.5405811224606334,1.7170043621218125,0.37577332255562806,-0.1959210560993504,1.277083301020617,0.8220771300918887,3.5861646938357286,0.0,1.4385830233613983,0.15026869914287652,2.734383566632202
NF1,1.7572705463056446,5.7965942470875556,0.28354512116436564,1.2015323208314421,2.313008771779847,3.3252083068808562,10.104781945792388,0.0,6.197498793453014,5.736747833367743e-10,30.699047845132544
FUBP1,0.340041250457735,1.4050055464901443,0.43609213471437297,-0.5146836275236255,1.1947661284390954,0.5976896572665243,3.302785252627847,0.0,0.7797463503450976,0.43554019067865435,1.1991222412355849
IDH1,-0.7553577322630329,0.46984250684028167,0.3340191921041445,-1.4100233189323217,-0.10069214559374418,0.24413759005911911,0.9042113554922204,0.0,-2.261420152251367,0.02373325202347583,5.396946391952907
TP53,-0.1005347011565814,0.9043537297478852,0.36694250550938856,-0.8197287963518733,0.6186593940387106,0.4405511173761026,1.8564376215409752,0.0,-0.2739794372336871,0.7841004239567682,0.3508896550032995
TTN,0.17639808902024795,1.1929128496474153,0.36407548725062466,-0.537176753644848,0.889972931685344,0.5843958189022161,2.435063737326339,0.0,0.4845096558198599,0.6280242133307072,0.6711079119189955
ATRX,0.9909825017087238,2.6938799141796754,0.36223885644216813,0.28100738928109936,1.7009576141363483,1.3244633907313985,5.479191831805349,0.0,2.735715630956712,0.006224479019805697,7.327831193986819
CIC,-0.0013710782894893125,0.9986298612089243,0.3643025315328345,-0.7153909195706123,0.7126487629916336,0.48900091439987814,2.0393859609077327,0.0,-0.003763570578882287,0.9969971122306687,0.004338768976556243
