covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06723756673675421,1.0695495373887904,0.0072150814130512685,0.053096267021649365,0.08137886645185906,1.0545311568068658,1.0847818061558554,0.0,9.319030914208264,1.1740771936930001e-20,66.2070346312951
gender,0.03357130694239103,1.0341411825429303,0.17168832914028778,-0.3029316347384317,0.37007424862321375,0.7386495926169749,1.4478421109559187,0.0,0.19553633674750057,0.8449730940414573,0.2430226916120289
radiation_therapy,0.3406585327798886,1.405873099311483,0.2032058642799357,-0.05761764265611963,0.7389347082158968,0.9440108279125067,2.0937039204711962,0.0,1.6764207764722705,0.09365580214091018,3.4164878150541678
race,0.3240208188546106,1.382676092552383,0.3444203793621582,-0.35103072023684195,0.9990723579460632,0.7039621276401525,2.7157614051265924,0.0,0.9407713314022645,0.3468220553883157,1.5277324483818522
histological_type_oligoastrocytoma,-0.4886524249325133,0.6134525107409243,0.2202964085399588,-0.9204254515943546,-0.056879398270672066,0.39834952658576794,0.9447079959145331,0.0,-2.2181588350491803,0.026544004402179862,5.235470159105105
histological_type_oligodendroglioma,-0.7769931953749758,0.4597864228941195,0.2206984657639149,-1.2095542397154952,-0.34443215103445646,0.29833023356463956,0.7086226298682029,0.0,-3.5206098632608502,0.0004305555895335498,11.181512861864896
IDH1,-0.7520028657788556,0.47142141274767835,0.33419863076314854,-1.4070201457572264,-0.09698558580048466,0.24487187956801235,0.9075690879208979,0.0,-2.2501674051196545,0.02443832055080695,5.35471104603685
NF1,1.7666375917312371,5.851146305646156,0.2873343695074331,1.2034725759761444,2.3298026074863296,3.3316663224785006,10.275912944549564,0.0,6.14836851839103,7.828398125203194e-10,30.250563820572328
FUBP1,0.338182880620013,1.4023969511788779,0.4358515747329778,-0.5160705084616913,1.1924362697017172,0.596861307418063,3.295099186750018,0.0,0.7759129488684284,0.4378003864785964,1.1916548667949347
NOTCH1,0.3371858692876061,1.4009994423078742,0.3278517495223319,-0.30539175204461133,0.9797634906198235,0.736834661358232,2.6638261475496834,0.0,1.0284705504206508,0.3037285368460182,1.7191456314524267
PIK3CA,0.5406224128386737,1.7170752593446978,0.3750546729836049,-0.19447123844263947,1.275716064119987,0.82326985643921,3.581264907482212,0.0,1.4414496119671236,0.1494577028524501,2.7421908413597835
TP53,-0.10345939477025637,0.9017126362472581,0.3666952717888775,-0.8221689207775827,0.6152501312370701,0.43947742833399545,1.8501193143190249,0.0,-0.28213997487762116,0.7778361822687104,0.36246174933414577
ATRX,0.9901693394900303,2.6916902432112755,0.36163748120427336,0.28137290086987377,1.6989657781101868,1.3249475859337065,5.468289042009913,0.0,2.7380163587930935,0.006181100119953333,7.337920651006174
TTN,0.18579225650947917,1.2041720754812395,0.3669943350200119,-0.5335034226599709,0.9050879356789292,0.5865464457350485,2.472149303627006,0.0,0.5062537450321899,0.6126785298596618,0.7067977991584009
MUC16,-3.0432985744883196,0.04767736249815864,1.0505787978413554,-5.102395181178762,-0.9842019677978766,0.0060821612271271,0.3737373624103243,0.0,-2.896782783682142,0.003770106933628383,8.051178840630351
CIC,-0.010071769869649111,0.9899787805514236,0.3667618122270611,-0.7289117127393309,0.7087681730000327,0.48243373098754583,2.0314872758500884,0.0,-0.027461337396309158,0.9780917764971189,0.031958252117705956
