covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06723756673675423,1.0695495373887904,0.007215081413051271,0.05309626702164937,0.08137886645185907,1.0545311568068658,1.0847818061558554,0.0,9.319030914208263,1.1740771936930176e-20,66.20703463129509
gender,0.03357130694239101,1.0341411825429303,0.17168832914028778,-0.3029316347384317,0.37007424862321375,0.7386495926169749,1.4478421109559187,0.0,0.19553633674750046,0.8449730940414573,0.2430226916120289
radiation_therapy,0.340658532779889,1.4058730993114834,0.20320586427993567,-0.05761764265611918,0.7389347082158972,0.9440108279125071,2.0937039204711962,0.0,1.6764207764722725,0.09365580214090992,3.4164878150541718
race,0.3240208188546108,1.3826760925523833,0.34442037936215814,-0.3510307202368416,0.9990723579460632,0.7039621276401528,2.7157614051265924,0.0,0.9407713314022653,0.34682205538831523,1.527732448381854
histological_type_astrocytoma,0.4886524249325133,1.6301180327588942,0.22029640853995883,0.05687939827067201,0.9204254515943546,1.0585281423726502,2.5103581986677517,0.0,2.21815883504918,0.026544004402179956,5.2354701591051
histological_type_oligodendroglioma,-0.28834077044246265,0.7495061391774109,0.24662806854490935,-0.7717229023671608,0.19504136148223544,0.4622160288075926,1.2153612545930834,0.0,-1.169132013820064,0.2423504473721284,2.0448333492060105
MUC16,-3.0432985744883214,0.04767736249815856,1.0505787978413557,-5.102395181178765,-0.9842019677978779,0.006082161227127087,0.3737373624103238,0.0,-2.8967827836821427,0.0037701069336283774,8.051178840630353
NOTCH1,0.3371858692876069,1.4009994423078755,0.32785174952233187,-0.3053917520446104,0.9797634906198243,0.7368346613582326,2.6638261475496856,0.0,1.0284705504206535,0.30372853684601697,1.7191456314524325
PIK3CA,0.5406224128386729,1.7170752593446963,0.375054672983605,-0.19447123844264058,1.2757160641199863,0.8232698564392091,3.5812649074822094,0.0,1.441449611967121,0.1494577028524508,2.742190841359777
NF1,1.7666375917312365,5.851146305646152,0.28733436950743313,1.2034725759761438,2.329802607486329,3.3316663224784975,10.275912944549557,0.0,6.148368518391027,7.828398125203363e-10,30.250563820572296
FUBP1,0.33818288062001434,1.4023969511788796,0.43585157473297775,-0.5160705084616899,1.1924362697017186,0.5968613074180638,3.2950991867500217,0.0,0.7759129488684315,0.43780038647859476,1.19165486679494
IDH1,-0.7520028657788561,0.47142141274767807,0.3341986307631484,-1.4070201457572267,-0.09698558580048555,0.24487187956801226,0.9075690879208971,0.0,-2.2501674051196576,0.024438320550806813,5.354711046036858
TP53,-0.10345939477025527,0.9017126362472591,0.366695271788877,-0.8221689207775806,0.6152501312370702,0.43947742833399633,1.8501193143190249,0.0,-0.28213997487761855,0.7778361822687125,0.3624617493341419
TTN,0.18579225650947942,1.2041720754812397,0.3669943350200118,-0.5335034226599704,0.9050879356789292,0.5865464457350488,2.472149303627006,0.0,0.5062537450321907,0.6126785298596613,0.706797799158402
ATRX,0.9901693394900294,2.691690243211273,0.3616374812042733,0.281372900869873,1.698965778110186,1.3249475859337054,5.468289042009907,0.0,2.7380163587930912,0.006181100119953368,7.337920651006166
CIC,-0.0100717698696492,0.9899787805514235,0.366761812227061,-0.7289117127393308,0.7087681730000324,0.4824337309875459,2.0314872758500875,0.0,-0.027461337396309408,0.9780917764971186,0.03195825211770628
