covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06698249830568734,1.0692767638557779,0.007194526957713631,0.0528814845827661,0.08108351202860858,1.054304686354937,1.0844614583615435,0.0,9.310201865860252,1.2758962248727664e-20,66.08705090559575
gender,0.036016096663481066,1.036672533325531,0.17147012995556493,-0.3000591824738289,0.372091375800791,0.7407743785241168,1.4507655400997195,0.0,0.2100429775892416,0.8336341298762562,0.2625137505779729
radiation_therapy,0.3466748897545147,1.414356828720134,0.2028564622408223,-0.05091647026870638,0.7442662497777358,0.9503580503696727,2.1048964000138177,0.0,1.7089664579822825,0.08745716280143315,3.515279643078628
race,0.3206206974320425,1.3779828093375417,0.34453741084341616,-0.354660219147733,0.995901614011818,0.7014117289988747,2.7071640583199175,0.0,0.9305831162055049,0.3520692514725744,1.5060688622479013
histological_type_astrocytoma,0.49476779610476446,1.6401173531991093,0.22050825013072414,0.06257956755459548,0.9269560246549334,1.0645791615085805,2.526805924373874,0.0,2.2437609287246656,0.024847787537735186,5.3307387907210915
histological_type_oligodendroglioma,-0.2600899280682946,0.7709822497415753,0.24357018406537007,-0.7374787165442117,0.21729886040762247,0.47831837269368715,1.2427154450896254,0.0,-1.0678233424436339,0.2856002065790577,1.80793107199628
MUC16,-3.038519460908846,0.047905763370841736,1.050363125975244,-5.097193358509232,-0.9798455633084604,0.006113881982623107,0.3753690651317493,0.0,-2.8928276191032825,0.003817907733486601,8.033002046783976
NOTCH1,0.38470228119658517,1.469176854748145,0.31845515209981834,-0.23945834761028378,1.008862910003454,0.7870540553414712,2.742480793890546,0.0,1.2080265577741445,0.2270370470824098,2.1390003644146147
PIK3CA,0.5743283559898382,1.7759373285874702,0.3706520369842913,-0.15213628729578077,1.3007929992754572,0.8588712195283932,3.672207571237791,0.0,1.5495081604372216,0.12125961135757682,3.043828991229992
NF1,1.8470571480230653,6.341131027371812,0.2660134248510116,1.3256804159109303,2.3684338801352003,3.764746076854475,10.680651997622574,0.0,6.943473432055402,3.825745865930328e-12,37.927396096155945
IDH1,-0.6355547128623346,0.5296416078031776,0.29439125278690137,-1.212550965688288,-0.0585584600363811,0.29743755782557946,0.9431231037770792,0.0,-2.158877707288363,0.030859655786011367,5.018134219848706
TP53,-0.18798770719354999,0.8286248932955058,0.3494938599849927,-0.8729830855820201,0.4970076711949202,0.4177036431522591,1.643795128544535,0.0,-0.5378855788814779,0.5906560450557443,0.7596098401970475
TTN,0.17627535210428422,1.192766444188097,0.36677387875499373,-0.542588240725564,0.8951389449341325,0.5812419098438999,2.447675857997231,0.0,0.48061043142616156,0.6307934001871487,0.66476052918995
ATRX,0.9688697336114812,2.6349645637521206,0.36014492451852864,0.26299865234026876,1.6747408148826937,1.300824965881119,5.337411592132618,0.0,2.6902218180826676,0.007140453931243755,7.129768492825394
CIC,-0.032168223530839736,0.9683436701855098,0.3680214829271329,-0.7534770756050425,0.6891406285433631,0.470726950685901,1.992002927009016,0.0,-0.08740854820480397,0.9303467749021874,0.10415953223479756
