covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.05987755719378797,1.0617065402581918,0.007015171171248215,0.0461280743527578,0.07362704003481814,1.047208522922378,1.0764052745496726,0.0,8.535437800747763,1.396257053902858e-17,55.99121304385019
gender,0.15509188860342094,1.1677652604941644,0.17074492967750873,-0.17956202410732042,0.4897458013141623,0.8356361197514104,1.631901340050592,0.0,0.9083250020738409,0.36370653678485243,1.4591532397500246
radiation_therapy,0.32486685274562505,1.3838463783679038,0.20516446967686267,-0.0772481187282858,0.7269818242195358,0.9256601514913626,2.068827091494208,0.0,1.5834459702369301,0.11331985221395219,3.1415274695477473
race,-0.2709497645364629,0.7626548077605496,0.3420279169770877,-0.9413121635188104,0.3994126344458846,0.39011560390274197,1.4909487084892086,0.0,-0.7921861084649816,0.42825216729020477,1.2234675473967251
histological_type_astrocytoma,0.4434864288801354,1.5581300694995184,0.22149481733231338,0.009364564146523036,0.8776082936137477,1.0094085488693907,2.4051404321846177,0.0,2.0022429157552852,0.04525861213010348,4.465663845199017
histological_type_oligodendroglioma,-0.2578145455805464,0.7727385265940583,0.24415483931771662,-0.7363492372944349,0.22072014613334212,0.4788589285862971,1.246974411118547,0.0,-1.055946899520818,0.29099247548686036,1.780946246627146
NOTCH1,0.36689472610288826,1.443245974989165,0.3326499692630447,-0.2850872331110353,1.0188766853168119,0.7519486566376219,2.7700813425699655,0.0,1.1029453179139312,0.2700509124910988,1.8886966717810956
PIK3CA,0.5409354848624366,1.7176129117286625,0.37711397064243,-0.19819431566362156,1.2800652853884946,0.8202104579123994,3.5968745412559744,0.0,1.4344084997459243,0.15145572349466055,2.723031996441492
NF1,1.7197061439499717,5.5828876578925195,0.28631215698377854,1.1585446279257876,2.280867659974156,3.185294112980616,9.78516692497284,0.0,6.006402808971203,1.896845936321575e-09,28.97375034757792
FUBP1,0.3212002450119233,1.3787816473997843,0.43732381953871163,-0.5359386908654455,1.178339180889292,0.5851197856797231,3.2489737618393133,0.0,0.7344677574405271,0.4626637039838528,1.1119641711223203
IDH1,-0.7700945645090761,0.4629692857778969,0.33912597119028803,-1.4347692542642085,-0.10541987475394354,0.23817031445910636,0.8999465783990391,0.0,-2.2708215528469977,0.023157782670374993,5.432359066136521
TP53,-0.18191500339278013,0.8336721967126743,0.36927122018675496,-0.90567329548598,0.5418432887004198,0.4042696005521548,1.7191728752854196,0.0,-0.492632497330224,0.6222722816743536,0.6843821102426155
TTN,0.2640045919494421,1.302134175621467,0.36569558512748923,-0.45274558420573824,0.9807547681046225,0.6358798909362422,2.6664680476448743,0.0,0.7219244712987293,0.47034091499145436,1.0882212570827585
ATRX,0.7921158030078181,2.208063314409029,0.3683610456305705,0.07014142026438452,1.5140901857512516,1.0726598663701858,4.545283881028871,0.0,2.1503788535833173,0.031525259634362264,4.987347937487227
CIC,-0.07978822315433626,0.9233118617567376,0.36400270315248906,-0.7932204116084391,0.6336439652997667,0.452385579134643,1.8844650081274206,0.0,-0.2191967874505348,0.8264967578806418,0.2749189346543396
