covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06283589526788642,1.064852077627155,0.0070273123412558265,0.04906261617091116,0.07660917436486168,1.0502861135758916,1.0796200507367124,0.0,8.94166819638719,3.8333909804662625e-19,61.1780126518873
gender,-0.11211470852739046,0.8939417088818704,0.16751216683557837,-0.44043252249738896,0.216203105442608,0.6437579210749863,1.24135447924928,0.0,-0.6692929274650044,0.5033086374895074,0.9904847381486116
radiation_therapy,0.4017708677830757,1.4944688624784792,0.2006798573486013,0.008445574957181456,0.7950961606089699,1.0084813394383279,2.214653949037499,0.0,2.002048800967398,0.045279483206733896,4.464998697579685
race,0.2142078333536908,1.2388801086465775,0.34081205973755413,-0.45377152922882874,0.8821871959362104,0.6352278476643207,2.4161785873266957,0.0,0.6285218707302899,0.5296621239628962,0.9168557494097515
histological_type_astrocytoma,0.42798272842736407,1.5341595833900732,0.21898985832166423,-0.0012295068626268502,0.857194963717355,0.9987712486712593,2.3565412304757825,0.0,1.9543495379531217,0.05065989410384625,4.303012128437211
histological_type_oligodendroglioma,-0.32789582048643096,0.7204380706836067,0.24245955437391808,-0.8031078147669413,0.1473161737940794,0.44793470060589746,1.1587202621012656,0.0,-1.3523732703919522,0.17625593579785565,2.5042562506983113
MUC16,-2.924691912305169,0.05368122789109027,1.044588618350249,-4.9720479829321125,-0.8773358416782249,0.006928943136735047,0.41588943234610337,0.0,-2.7998504491885283,0.005112628681022317,7.611719034600575
NOTCH1,0.5291850950958618,1.6975484043002504,0.33057308413236414,-0.11872624406190113,1.1770964342536248,0.8880508766895202,3.244938618477164,0.0,1.6008111987846287,0.10941874246092967,3.192068214714129
PIK3CA,0.07908750426357725,1.0822990237058956,0.39626203427914974,-0.6975718113641326,0.8557468198912871,0.49779257172677416,2.35313108962516,0.0,0.19958385467698747,0.8418060558330823,0.24844020662805327
FUBP1,1.132819014353775,3.104395512145788,0.41643308741779,0.3166251610440868,1.9490128676634635,1.3724880135192248,7.02175275915145,0.0,2.720290602694749,0.006522456730921468,7.260368816227574
IDH1,-1.0466063428007426,0.35112733525481254,0.3508274551665676,-1.7342155197150557,-0.3589971658864296,0.1765386370590847,0.6983763306266046,0.0,-2.983250961085214,0.0028520403251750116,8.453789904381434
TP53,0.4157125532730278,1.5154501950586041,0.3553949807135906,-0.2808488092119169,1.1122739157579726,0.7551424974391752,3.0412661206213545,0.0,1.1697198211362658,0.2421137388866239,2.04624314664836
TTN,0.3202829063241324,1.3775174176047142,0.35295915043291776,-0.3715043165382414,1.0120701291865062,0.68969602872342,2.7512906509213972,0.0,0.9074220230054761,0.3641836676754624,1.45726187079325
ATRX,0.6056171346952112,1.8323826869522981,0.34101662411727507,-0.06276316670408122,1.2739974360945037,0.9391658731014417,3.5751153311762827,0.0,1.7759167496976347,0.0757466397763734,3.722674299677424
CIC,0.004643263175768587,1.0046540598263236,0.37370925107455943,-0.7278134096198045,0.7370999359713416,0.482963880538415,2.089865972586395,0.0,0.012424801265736397,0.9900866979618158,0.014373233085939805
