covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06460589242879973,1.0667385317981066,0.006989784504522837,0.05090616654023882,0.07830561831736063,1.0522241548178997,1.08145312005284,0.0,9.242901893040564,2.3990092615743712e-20,65.1761231704612
gender,0.029441021175258902,1.0298786926457209,0.17112053068211117,-0.30594905597706024,0.3648310983275781,0.7364241349085201,1.440270723470266,0.0,0.17204844478861034,0.8633994433605224,0.21189993220297415
radiation_therapy,0.38386918156425226,1.467953393753837,0.20080489435567384,-0.009701179292238848,0.7774395424207434,0.9903457253482745,2.1758938430067936,0.0,1.9116525162196867,0.055920778578209235,4.160471742453687
race,0.35284963085705934,1.4231171344400206,0.34263247123394613,-0.31869767269543114,1.0243969344095498,0.7270953368541314,2.785415165911153,0.0,1.0298195894461417,0.3030947031256377,1.7221594550420851
histological_type_oligodendroglioma,-0.5698954919991596,0.56558454372098,0.20211949628848674,-0.9660424252979707,-0.17374855870034844,0.38058626013971186,0.8405082095676291,0.0,-2.8195968348631903,0.0048084020460815976,7.70022675516075
MUC16,-2.94392677844151,0.05265854378537476,1.0437393257288194,-4.989618266118116,-0.8982352907649038,0.006808262940882352,0.4072877704157618,0.0,-2.820557495412787,0.004794028169591907,7.70454589840947
NOTCH1,0.36499322640919596,1.440504250729825,0.3291693227826355,-0.2801667910602095,1.0101532438786014,0.7556576939962859,2.746021793805613,0.0,1.108831234100805,0.26750299351027473,1.9023730587071717
PIK3CA,0.5477490075993833,1.7293558663705928,0.3800526318352216,-0.1971404630273118,1.2926384782260785,0.8210752944909124,3.642384240052767,0.0,1.4412451374284112,0.14951544058968574,2.7416336143977995
NF1,1.7156949698742552,5.560538576644689,0.2847760605414397,1.1575441475538353,2.273845792194675,3.1821088823877184,9.716697449759481,0.0,6.0247162862364005,1.6940652449396873e-09,29.136863414535583
FUBP1,0.37003749707341277,1.447788901492245,0.43483205305759687,-0.482217666243087,1.2222926603899125,0.6174126572440105,3.3949623136017357,0.0,0.8509894670170473,0.39477520385387355,1.3408967190760819
IDH1,-0.8097889326187074,0.4449519711598116,0.336572643210715,-1.4694591914931583,-0.15011867374425647,0.23004986447470951,0.8606058390474164,0.0,-2.4059855991080363,0.016128900494546516,5.954208096298604
TP53,0.0034085196164237263,1.003414335225073,0.3552513236881073,-0.6928712802724475,0.699688319505295,0.5001379691757414,2.01312515783297,0.0,0.009594671121946991,0.9923446775012457,0.011086786621280358
TTN,0.1697553709857676,1.1850149268264396,0.362176502994074,-0.5400975309292806,0.8796082729008157,0.5826914191669419,2.409955476621065,0.0,0.4687089570483405,0.6392776836894745,0.6454853626793647
ATRX,0.9010947672185493,2.4622972784876405,0.3610279230300208,0.19349304066640982,1.608696493770689,1.2134809415034367,4.99629428059746,0.0,2.4959143316557815,0.012563293877829031,6.314641426325379
CIC,-0.02459480556497914,0.9757051822523467,0.3645638307509391,-0.7391267839027758,0.6899371727728174,0.4775307210264307,1.9935902775591128,0.0,-0.06746364694028491,0.9462126016046105,0.07976372018086435
