covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
years_to_birth,0.06723634544487972,1.0695482311574287,0.007190629613990554,0.05314297037529108,0.08132972051446835,1.0545804080984995,1.0847284948471556,0.0,9.350550515640569,8.71926983367337e-21,66.63628266628427
gender,0.04763614003251148,1.0487889735675011,0.1708956118076636,-0.2873131042264472,0.38258538429147015,0.7502767772268615,1.4660700483658684,0.0,0.2787440796673241,0.7804412319602781,0.35763809503724003
radiation_therapy,0.3397315846894254,1.4045705317261779,0.20321797322707616,-0.05856832384686883,0.7380314932257196,0.9431138010353972,2.0918137094671927,0.0,1.671759536297553,0.09457174884254865,3.4024469141580624
histological_type_astrocytoma,0.4951785026305127,1.640791098445375,0.22002543393985696,0.06393657642559625,0.9264204288354292,1.0660247855150906,2.5254529400427996,0.0,2.2505511920311343,0.024413977713110126,5.356148820527758
histological_type_oligodendroglioma,-0.27029982968815736,0.7631506448107759,0.24633157138275452,-0.7531008378535137,0.21250117847719896,0.47090408925643024,1.2367675710668087,0.0,-1.0973007973393736,0.2725099224674648,1.8756193334969344
MUC16,-2.846002710251379,0.058076004129744827,1.0239865805616053,-4.852979528804449,-0.8390258916983098,0.00780508738691054,0.4321312611226497,0.0,-2.7793359447059247,0.005447015984047268,7.5203181839474915
NOTCH1,0.3147841487333859,1.369963570668243,0.3274793027878091,-0.3270634904130073,0.9566317878797791,0.7210379625752746,2.602914523744162,0.0,0.9612337208906021,0.33643466488351836,1.5716017321034697
PIK3CA,0.5376395740394919,1.711961131740968,0.3755009943787527,-0.19832885110184062,1.2736079991808245,0.8201001179614956,3.573723320363453,0.0,1.4317926772177776,0.1522031635950476,2.7159297488221656
NF1,1.7482805329488849,5.744716328372389,0.28631633314169447,1.1871108318055918,2.3094502340921776,3.2775979828183104,10.068887601978291,0.0,6.1061152668635295,1.0208529503405304e-09,29.86757778707834
FUBP1,0.3336889016366179,1.3961087488613924,0.43628386623185034,-0.5214117632136994,1.1887895664869352,0.5936818179142056,3.28310482119059,0.0,0.7648435513296947,0.44436471072788797,1.1701838453957232
IDH1,-0.7413009171126176,0.4764936334189454,0.3345587988473108,-1.3970241135643273,-0.08557772066090785,0.24733190150466317,0.9179817941298108,0.0,-2.21575675088115,0.026708165902859494,5.226575282828331
TP53,-0.12485447221018699,0.8826253397537074,0.36646575322246056,-0.843114150093553,0.593405205673179,0.43036820324023656,1.8101418378729182,0.0,-0.3406988814433498,0.7333302808263251,0.44746498221561476
TTN,0.19662558731469088,1.2172881872335952,0.36726302689381807,-0.5231967182503579,0.9164478928797395,0.5926230677549656,2.5003929333900556,0.0,0.5353808385714216,0.5923865373330657,0.7553892407959177
ATRX,0.9866262196992341,2.682170137636472,0.3628990435577389,0.2753571643020336,1.6978952750964347,1.3170009766097137,5.462438354258538,0.0,2.718734692785867,0.006553214744847053,7.253581475923553
CIC,-0.03755375534586778,0.9631426422633755,0.36600292711022003,-0.7549063107181376,0.679798800026402,0.4700546517503659,1.9734806280328538,0.0,-0.1026050683320318,0.9182764201269511,0.12299959493201054
